url	name	price	stem_type	feel	pin_count	force	silent	color
https://mechanicalkeyboards.com/products/cherry-mx2a-silent-red-45g-linear	Cherry MX2A Silent Red 45g Linear Switch	$0.40	MX	Linear	3	45 cN	Yes	Pink
https://mechanicalkeyboards.com/products/cherry-mx2a-brown-55g-tactile	Cherry MX2A Brown 55g Tactile Switch	$0.40	MX	Tactile		55 cN	No	Brown
https://mechanicalkeyboards.com/products/cherry-mx2a-blue-60g-clicky	Cherry MX2A Blue 60g Clicky Switch	$0.40	MX	Clicky		60 cN	No	Blue
https://mechanicalkeyboards.com/products/cherry-mx2a-speed-silver-45g-linear	Cherry MX2A Speed Silver 45g Linear Switch	$0.50	MX	Linear	3	45 cN	No	Silver
https://mechanicalkeyboards.com/products/ttc-bluish-white-silent-v2-42g-tactile-plate-mount-lubed	TTC Bluish White Silent V2 42g Tactile Plate Mount Lubed Switch	$0.60	MX	Tactile	3	42 cN	Yes	Blue
https://mechanicalkeyboards.com/products/gateron-jupiter-banana-59g-tactile-pcb-mount	Gateron Jupiter Banana 59g Tactile PCB Mount Switch	$0.28	MX	Tactile	5	59 cN	No	Yellow
https://mechanicalkeyboards.com/products/cherry-mx2a-red-45g-linear	Cherry MX2A Red 45g Linear Switch	$0.40	MX	Linear		45 cN	No	Red
https://mechanicalkeyboards.com/products/gateron-baby-kangaroo-20-59g-tactile-switch	Gateron Baby Kangaroo 2.0 59g Tactile Switch	$0.60	MX	Tactile	5	59 cN	No	Green
https://mechanicalkeyboards.com/products/cherry-mx2a-black-60g-linear	Cherry MX2A Black 60g Linear Switch	$0.40	MX	Linear	3	60 cN	No	Black
https://mechanicalkeyboards.com/products/cherry-mx-silent-red-45g-linear	Cherry MX Silent Red 45g Linear Switch	$0.40	MX	Linear		45 cN	Yes	Red
https://mechanicalkeyboards.com/products/zeal-pc-purple-zealios-v2-tactile	Zeal PC Purple Zealios V2 Tactile Switch	$1.10	MX	Tactile	5		No	Purple
